Gene list name:,ERI_ALL_2
STAG1,10274
STAG2,10735
STAMBP,10617
STEEP1,63932
STIL,6491
STRA6,64220
STRADA,92335
STS,412
STT3A,3703
STX1A,6804
STX1B,112755
STXBP1,6812
SUCLA2,8803
SUCLG1,8802
SUFU,51684
SUMF1,285362
SUOX,6821
SUPT16H,11198
SURF1,6834
SUZ12,23512
SVBP,374969
SYN1,6853
SYNCRIP,10492
SYNGAP1,8831
SYNJ1,8867
SYP,6855
SYT1,6857
SZT2,23334
TACO1,51204
TAF1,6872
TAF2,6873
TAF4,6874
TAF6,6878
TAF8,129685
TAFAZZIN,6901
TALDO1,6888
TANC2,26115
TANGO2,128989
TAOK1,57551
TARS2,80222
TASP1,55617
TAT,6898
TBC1D20,128637
TBC1D23,55773
TBC1D24,57465
TBC1D2B,23102
TBC1D7,51256
TBCD,6904
TBCE,6905
TBCK,93627
TBL1XR1,79718
TBR1,10716
TCEAL1,9338
TCF20,6942
TCF4,6925
TCF7L2,6934
TCN2,6948
TCTN2,79867
TCTN3,26123
TDP2,51567
TECPR2,9895
TEFM,79736
TELO2,9894
TENM3,55714
TET3,200424
TFAM,7019
TFE3,7030
TFR2,7036
TGIF1,7050
TH,7054
THOC2,57187
THOC6,79228
THRA,7067
THUMPD1,55623
TIAM1,7074
TIMM50,92609
TIMM8A,1678
TIMMDC1,51300
TK2,7084
TLK2,11011
TMCO1,54499
TMEM106B,54664
TMEM126B,55863
TMEM147,10430
TMEM165,55858
TMEM216,51259
TMEM222,84065
TMEM237,65062
TMEM240,339453
TMEM63B,55362
TMEM63C,57156
TMEM67,91147
TMEM70,54968
TMEM94,9772
TMTC3,160418
TMX2,51075
TNPO2,30000
TNRC6B,23112
TOE1,114034
TOP3A,7156
TOR1A,1861
TP73,7161
TPK1,27010
TPP1,1200
TPP2,7174
TRA2B,6434
TRAF7,84231
TRAIP,10293
TRAP1,10131
TRAPPC12,51112
TRAPPC4,51399
TRAPPC6B,122553
TRAPPC9,83696
TREX1,11277
TRIM37,4591
TRIM8,81603
TRIO,7204
TRIP12,9320
TRIT1,54802
TRMT1,55621
TRMT10A,93587
TRMT10C,54931
TRMT5,57570
TRMU,55687
TRNT1,51095
TRPM3,80036
TRPM6,140803
TRRAP,8295
TSC1,7248
TSC2,7249
TSEN2,80746
TSEN34,79042
TSEN54,283989
TSFM,10102
TSHB,7252
TSPAN7,7102
TSPOAP1,9256
TTC19,54902
TTC5,91875
TTC8,123016
TTI1,9675
TTI2,80185
TTPA,7274
TUBA1A,7846
TUBB,203068
TUBB2A,7280
TUBB2B,347733
TUBB3,10381
TUBB4A,10382
TUBG1,7283
TUBGCP6,85378
TUFM,7284
TUSC3,7991
TWIST1,7291
TWNK,56652
TYMP,1890
U2AF2,11338
UBA5,79876
UBAP2L,9898
UBE2A,7319
UBE3A,7337
UBE3B,89910
UBE4A,9354
UBR1,197131
UBR7,55148
UBTF,7343
UFM1,51569
UFSP2,55325
UGDH,7358
UGP2,7360
UGT1A1,54658
UMOD,7369
UMPS,7372
UNC80,285175
UPB1,51733
UPF3B,65109
UQCC2,84300
UQCRB,7381
UQCRC2,7385
UQCRFS1,7386
UROC1,131669
UROD,7389
UROS,7390
USP7,7874
USP9X,8239
VAMP2,6844
VARS1,7407
VARS2,57176
VCP,7415
VIPAS39,63894
VKORC1,79001
VLDLR,7436
VMA12,147007
VMA22,84317
VPS11,55823
VPS13B,157680
VPS16,64601
VPS33A,65082
VPS33B,26276
VPS41,27072
VPS4A,27183
VPS53,55275
VRK1,7443
WAC,51322
WARS2,10352
WASF1,8936
WDFY3,23001
WDPCP,51057
WDR26,80232
WDR37,22884
WDR4,10785
WDR45,11152
WDR45B,56270
WDR5,11091
WDR62,284403
WDR73,84942
WDR81,124997
WDR83OS,51398
WFS1,7466
WIPI2,26100
WNK3,65267
WNT1,7471
WWOX,51741
WWTR1,25937
XDH,7498
XPNPEP3,63929
XRCC4,7518
XYLT1,64131
XYLT2,64132
YARS2,51067
YIF1B,90522
YIPF5,81555
YWHAG,7532
YY1,7528
ZBTB18,10472
ZBTB20,26137
ZBTB24,9841
ZBTB47,92999
ZBTB7A,51341
ZC4H2,55906
ZDHHC9,51114
ZEB2,9839
ZFHX3,463
ZFHX4,79776
ZFX,7543
ZFYVE26,23503
ZIC1,7545
ZIC2,7546
ZMIZ1,57178
ZMYM2,7750
ZMYM3,9203
ZMYND11,10771
ZMYND8,23613
ZNF142,7701
ZNF292,23036
ZNF335,63925
ZNF462,58499
ZNF526,116115
ZNF699,374879
ZNF711,7552
ZNFX1,57169
ZSWIM6,57688
