id,hash_id,name,disease_group,disease_sub_group,status,version,version_created,relevant_disorders,stats,types
540,,"Adult onset dystonia, chorea or related movement disorder",Neurology,,public,6.1,2026-05-06T16:15:44.700503Z,['Adult onset movement disorder'],"{'number_of_genes': 207, 'number_of_strs': 11, 'number_of_regions': 1}","[{'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
567,,Adult onset hereditary spastic paraplegia,Neurology,,public,6.11,2026-05-06T16:02:21.284533Z,['Hereditary spastic paraplegia - adult onset'],"{'number_of_genes': 109, 'number_of_strs': 10, 'number_of_regions': 0}","[{'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}]"
579,,Adult onset leukodystrophy,Neurology,,public,7.1,2026-05-06T16:02:21.284533Z,"['White matter disorders - adult onset', 'R62']","{'number_of_genes': 99, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}]"
474,,Adult onset neurodegenerative disorder,Neurology,,public,9.1,2026-05-06T16:02:21.284533Z,"['Neurodegenerative disorders - adult onset', 'Young onset or familial dementia', 'Young onset or complex Parkinson disease', 'Amyotrophic lateral sclerosis', 'Cerebral amyloid angiopathy', 'R58']","{'number_of_genes': 431, 'number_of_strs': 16, 'number_of_regions': 5}","[{'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}, {'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}]"
1669,,Adult-onset neurological disorders,Neurology,,public,9.4,2026-05-06T16:34:16.102519Z,"['R54', 'R56', 'R60', 'R458', 'R459', 'R460', 'R461', 'Hereditary ataxia with onset in adulthood', 'Adult onset dystonia', 'chorea or related movement disorder', 'Adult onset hereditary spastic paraplegia', 'Young onset or familial dementia', 'Young onset or complex Parkinson disease', 'Amyotrophic lateral sclerosis', 'Cerebral amyloid angiopathy']","{'number_of_genes': 1003, 'number_of_strs': 56, 'number_of_regions': 10}","[{'name': 'Super Panel', 'slug': 'superpanel', 'description': 'Superpanel'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
245,595ce30f8f62036352471f39,Adult solid tumours cancer susceptibility,Cancer susceptibility,,public,2.35,2026-01-22T16:51:51.545268Z,"['Carcinoma of unknown primary', 'Other', 'Adult solid tumours pertinent cancer susceptibility']","{'number_of_genes': 105, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Cancer Germline 100K', 'slug': 'cancer-germline-100k', 'description': 'Cancer Germline 100K'}, {'name': 'GMS Cancer Germline Virtual', 'slug': 'gms-cancer-germline-virtual', 'description': 'This is a panel used for WGS germline analysis for the GMS.'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
391,,Adult solid tumours for rare disease,Tumour syndromes,Tumour syndromes,public,1.42,2025-11-17T21:33:23.037668Z,"['Young adult onset cancer', 'Exceptionally young adult onset cancer', 'Multiple Tumours', 'Rare tumour predisposition syndromes']","{'number_of_genes': 58, 'number_of_strs': 0, 'number_of_regions': 1}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}]"
1208,,Agammaglobulinaemia with absent BTK expression,Immunology,,public,1.3,2026-01-22T17:16:26.800869Z,['R233'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
511,,Albinism or congenital nystagmus,Ophthalmology,,public,4.11,2026-06-05T15:33:24.689991Z,['R39'],"{'number_of_genes': 50, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}]"
1209,,"Albright hereditary osteodystrophy, pseudohypoparathyroidism, pseudopseudohypoparathyroidism, acrodysostosis and osteoma cutis",Endocrinology,,public,1.10,2026-01-22T17:19:57.123410Z,['R293'],"{'number_of_genes': 4, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
1210,,Alstrom syndrome,Endocrinology,,public,1.3,2026-01-22T17:21:12.137851Z,['R106'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
1211,,Alveolar capillary dysplasia with misalignment of pulmonary veins,Respiratory,,public,1.8,2026-01-22T17:22:30.222889Z,['R330'],"{'number_of_genes': 3, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
269,58c7f3c78f620328d77ce70e,Amelogenesis imperfecta,Musculoskeletal,,public,4.36,2026-06-05T16:56:36.272495Z,"['Amelogenesis Imperfecta', 'R340']","{'number_of_genes': 46, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}, {'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}]"
263,55d30b0322c1fc2ff2a5bf7b,Amyotrophic lateral sclerosis/motor neuron disease,Neurology and neurodevelopmental disorders,Neurodegenerative disorders,public,1.74,2025-11-17T21:33:58.038737Z,['Amyotrophic lateral sclerosis or motor neuron disease'],"{'number_of_genes': 38, 'number_of_strs': 4, 'number_of_regions': 0}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}]"
34,553f97abbb5a1616e5ed45f9,Anophthalmia or microphthalmia,Ophthalmological disorders,Ocular malformations,public,1.57,2026-05-01T14:47:25.341626Z,"['Anophthalmia or microphthamia', 'Anophthalmia/microphthamia', 'Anophthalmia/microphthalmia']","{'number_of_genes': 63, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}]"
1212,,APC associated Polyposis,Inherited cancer,,public,1.3,2026-01-22T17:25:12.480185Z,['R414'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
134,55a3876e22c1fc63fec6d0da,Arrhythmogenic right ventricular cardiomyopathy,Cardiology,,public,3.16,2026-05-06T16:02:21.284533Z,"['Arrhythmogenic cardiomyopathy', 'R133']","{'number_of_genes': 20, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}, {'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}]"
258,55b75d5b22c1fc05fd2345c9,Arthrogryposis,Neurology,,public,10.9,2026-06-08T08:49:07.933954Z,['R83'],"{'number_of_genes': 307, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
477,,Ataxia and cerebellar anomalies - narrow panel,Neurology,,public,9.3,2026-05-19T13:51:27.967437Z,[],"{'number_of_genes': 326, 'number_of_strs': 16, 'number_of_regions': 4}","[{'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
1213,,Ataxia telangiectasia - mutation testing,Neurology,,public,1.3,2026-01-22T17:45:03.549303Z,['R295'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
139,563248da22c1fc58285b283a,Atypical haemolytic uraemic syndrome,Renal,,public,3.9,2026-05-06T16:02:21.284533Z,['R201'],"{'number_of_genes': 15, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}, {'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}, {'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}]"
260,55b20bdf22c1fc7dd6b9bbb7,Auditory Neuropathy Spectrum Disorde,Hearing and ear disorders,Non-syndromic hearing loss,public,1.10,2025-11-17T21:35:05.758621Z,"['Auditory Neuropathy Spectrum Disorder', 'Auditory Neuropathy Spectrum Disorde']","{'number_of_genes': 8, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}]"
1214,,Autoimmune lymphoproliferative syndrome with defective apoptosis,Immunology,,public,1.3,2026-01-22T17:47:38.776226Z,['R19'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
1215,,Autoimmune Polyendocrine Syndrome,Immunology,,public,1.4,2026-01-22T17:48:40.162031Z,['R155'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
1075,,Autoinflammatory disorders,Immunology,,public,3.9,2026-05-22T11:43:24.695688Z,['R413'],"{'number_of_genes': 44, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}, {'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
282,562e5d2622c1fc582756e3b5,Autosomal recessive congenital ichthyosis,Dermatological disorders,Ichthyoses,public,1.15,2025-11-17T21:35:39.902197Z,[],"{'number_of_genes': 15, 'number_of_strs': 0, 'number_of_regions': 1}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}]"
557,,Autosomal recessive primary hypertrophic osteoarthropathy,Dermatology,,public,2.1,2026-05-06T16:02:21.284533Z,['R167'],"{'number_of_genes': 3, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}]"
1216,,BAP1 associated tumour predisposition syndrome,Inherited cancer,,public,1.3,2026-01-22T17:53:15.665329Z,['R422'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
543,,Bardet Biedl syndrome,Ophthalmology,,public,2.17,2026-05-06T16:02:21.284533Z,['R107'],"{'number_of_genes': 25, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
1308,,Barth syndrome,Cardiology,,public,1.4,2026-01-22T17:58:04.540140Z,['R391'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
1309,,Beckwith-Wiedemann syndrome,Endocrinology,,public,1.3,2026-01-22T17:59:32.329541Z,['R49.3'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
38,56fa8eb88f62030f36e3026b,Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders,Growth disorders,Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders,public,1.121,2025-11-17T21:37:09.203210Z,"['Atypical Beckwith-Wiedemann syndrome', 'Classical Beckwith-Wiedemann syndrome', 'Simpson-Golabi-Behmel syndrome', 'Sotos syndrome', 'Weaver syndrome']","{'number_of_genes': 30, 'number_of_strs': 0, 'number_of_regions': 1}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}]"
230,553f979fbb5a1616e5ed45f8,Bilateral congenital or childhood onset cataracts,Ophthalmology,,public,8.1,2026-05-06T16:02:21.284533Z,"['Cataracts', 'R31']","{'number_of_genes': 208, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
208,596f48578f620352d12240e4,Bladder cancer pertinent cancer susceptibility,Cancer Programme,Pertinent cancer susceptibility gene panel,public,1.3,2025-10-13T20:25:15.184734Z,['Bladder'],"{'number_of_genes': 4, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Cancer Germline 100K', 'slug': 'cancer-germline-100k', 'description': 'Cancer Germline 100K'}]"
545,,Bleeding and platelet disorders,Haematology,,public,4.14,2026-05-13T15:39:55.730794Z,['R90'],"{'number_of_genes': 119, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}, {'name': 'GMS Rare Disease Virtual', 'slug': 'gms-rare-disease-virtual', 'description': 'This is a panel for the Genomic Medicine Service for an exome/genome/panel based test that requires a virtual gene panel for rare disease in the Test Directory.'}]"
1310,,Blepharophimosis ptosis and epicanthus inversus,Ophthalmology,,public,1.3,2026-01-22T18:03:24.146655Z,['R43'],"{'number_of_genes': 1, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
166,596f81208f620352d0e3eea7,Brain cancer pertinent cancer susceptibility,Cancer susceptibility,,public,1.5,2026-01-22T18:04:55.127106Z,['Adult Glioma'],"{'number_of_genes': 7, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Cancer Germline 100K', 'slug': 'cancer-germline-100k', 'description': 'Cancer Germline 100K'}, {'name': 'GMS Cancer Germline Virtual', 'slug': 'gms-cancer-germline-virtual', 'description': 'This is a panel used for WGS germline analysis for the GMS.'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
90,55c2321822c1fc0fe5e416e1,Brain channelopathy,Neurology and neurodevelopmental disorders,Channelopathies,public,1.83,2025-11-17T21:37:54.033731Z,[],"{'number_of_genes': 26, 'number_of_strs': 5, 'number_of_regions': 1}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}]"
55,596f82e88f620352d0e3eeb1,Breast cancer pertinent cancer susceptibility,Cancer susceptibility,,public,2.17,2026-03-11T14:07:49.315470Z,['Breast'],"{'number_of_genes': 7, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Cancer Germline 100K', 'slug': 'cancer-germline-100k', 'description': 'Cancer Germline 100K'}, {'name': 'GMS Cancer Germline Virtual', 'slug': 'gms-cancer-germline-virtual', 'description': 'This is a panel used for WGS germline analysis for the GMS.'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
13,55a3a78122c1fc6711b0c6b5,Brugada syndrome and cardiac sodium channel disease,Cardiology,,public,3.16,2026-05-06T16:02:21.284533Z,"['Brugada syndrome', 'R128']","{'number_of_genes': 23, 'number_of_strs': 0, 'number_of_regions': 0}","[{'name': 'Rare Disease 100K', 'slug': 'rare-disease-100k', 'description': 'Rare Disease 100K'}, {'name': 'GMS Rare Disease', 'slug': 'gms-rare-disease', 'description': 'This panel type is used for GMS panels that are not virtual (i.e. could be a wet lab test)'}, {'name': 'Component Of Super Panel', 'slug': 'component-of-super-panel', 'description': 'This panel is a component of a Super Panel'}, {'name': 'GMS signed-off', 'slug': 'gms-signed-off', 'description': 'This panel has undergone review by a NHSE GMS disease specialist group and processes to be signed-off for use within the GMS.'}]"
